Elecció;Any;Districte;Secció;Junts;Participació;PP;PSC;% CUP;% PSC;% Junts;PACMA;% CECP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CECP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;% PP;Secció;CUP;Altres;% Altres
Parlament;2017;6;10;86;85.08;44;244;3.77;18.05;6.36;15;10.13;1.11;39.35;1345;7;137;532;1338;1345;0;225;6;1589;16.64;3.25;10;51;4;0.3
Parlament;2017;6;11;46;72.45;43;171;2.51;18.69;5.03;8;11.15;0.87;38.8;909;6;102;355;903;909;0;151;6;1263;16.5;4.7;11;23;4;0.44
Parlament;2017;6;12;57;80.63;28;171;3.37;23.08;7.69;4;9.31;0.54;29.28;733;8;69;217;722;730;3;148;6;919;19.97;3.78;12;25;3;0.42
Parlament;2017;6;13;17;78.45;24;133;2.06;24.86;3.18;11;10.65;2.06;36.07;529;6;57;193;522;528;1;73;6;682;13.64;4.49;13;11;3;0.57
Parlament;2017;6;14;38;69.69;36;101;4.88;20.53;7.72;9;10.37;1.83;33.13;489;3;51;163;481;484;5;55;6;706;11.18;7.32;14;24;4;0.83
Parlament;2017;6;16;104;73.21;37;111;3.5;13.41;12.56;10;10.14;1.21;38.53;823;5;84;319;815;820;3;118;6;1131;14.25;4.47;16;29;3;0.37
Parlament;2017;6;18;42;73.58;35;117;1.7;18.11;6.5;1;10.68;0.15;44.89;646;0;69;290;644;644;2;77;6;878;11.92;5.42;18;11;2;0.31
Parlament;2017;6;20;55;70.55;28;163;2.86;20.25;6.83;12;9.32;1.49;41.74;796;9;75;336;780;789;7;85;6;1141;10.56;3.48;20;23;3;0.38
Parlament;2017;6;23;46;81.92;39;150;2.99;18.7;5.74;16;9.1;2;42.77;799;3;73;343;793;796;3;100;6;979;12.47;4.86;23;24;2;0.25
Parlament;2017;6;24;92;83.07;43;221;2.18;14.63;6.09;21;10.72;1.39;47.12;1497;14;162;712;1482;1496;1;187;6;1819;12.38;2.85;24;33;11;0.74
Parlament;2017;6;25;66;79.68;59;219;2.07;19.73;5.95;16;12.97;1.44;35.59;1104;6;144;395;1097;1103;1;173;6;1393;15.59;5.32;25;23;2;0.18
Parlament;2017;6;26;59;82.58;37;165;3.26;16.82;6.01;20;11.72;2.04;41.18;971;10;115;404;956;966;5;121;6;1188;12.33;3.77;26;32;3;0.31
Parlament;2017;6;27;28;77.57;28;182;1.61;24.36;3.75;12;9.91;1.61;44.31;742;5;74;331;736;741;1;68;6;963;9.1;3.75;27;12;1;0.14
Parlament;2017;6;28;49;83.55;36;205;2.27;20.28;4.85;9;11.18;0.89;41.44;1006;5;113;419;997;1002;4;142;6;1210;14.05;3.56;28;23;1;0.1
Parlament;2017;6;29;25;85.19;25;106;2.4;15.89;3.75;17;11.24;2.55;47.08;665;2;75;314;663;665;0;82;6;783;12.29;3.75;29;16;3;0.45
Parlament;2017;6;30;31;85.36;15;68;2;15.14;6.9;11;11.36;2.45;38.98;449;0;51;175;448;448;1;86;6;526;19.15;3.34;30;9;2;0.45
Parlament;2017;6;31;33;74.69;17;105;4.42;19.34;6.08;9;10.13;1.66;38.86;540;3;55;211;534;537;3;78;6;727;14.36;3.13;31;24;2;0.37
Parlament;2017;6;32;37;83.45;11;69;2.07;14.26;7.64;8;9.5;1.65;46.9;483;1;46;227;482;483;0;70;6;580;14.46;2.27;32;10;4;0.83
Parlament;2017;6;33;74;87.98;15;135;1.92;15.24;8.35;10;11.17;1.13;34.88;881;5;99;309;872;877;4;206;6;1007;23.25;1.69;33;17;7;0.8
